state,x,y
Andhra Pradesh,-71,-125
Arunachal Pradesh,228,158
Assam,191,110
Bihar,62,94
Chhattisgarh,-11,10
Goa,-171,-126
Gujarat,-221,47
Haryana,-122,166
Himachal Pradesh,-106,226
Jammu And Kashmir,-127,274
Jharkhand,48,46
Karnataka,-148,-134
Kerala,-126,-223
Madhya Pradesh,-93,41
Maharashtra,-159,-39
Manipur,214,75
Meghalaya,145,86
Mizoram,196,37
Nagaland,231,104
Odisha,35,-12
Punjab,-135,201
Rajasthan,-168,119
Sikkim,110,130
Tamil Nadu,-76,-209
Telangana,-74,-63
Tripura,170,49
Uttar Pradesh,-41,116
Uttarakhand,-71,187
West Bengal,96,35
